copy_cossim,cossim,encoder,horizon_step,horizon_trained,model,n_windows,seed
0.85491,0.791765,vit_s16,4,16,dit_x0_single,3619,2
0.842103,0.791311,vit_s16,5,16,dit_x0_single,3619,2
0.831306,0.789537,vit_s16,6,16,dit_x0_single,3619,2
0.822286,0.786989,vit_s16,7,16,dit_x0_single,3619,2
0.814083,0.785022,vit_s16,8,16,dit_x0_single,3619,2
0.807286,0.783258,vit_s16,9,16,dit_x0_single,3619,2
0.801078,0.780298,vit_s16,10,16,dit_x0_single,3619,2
0.795418,0.779138,vit_s16,11,16,dit_x0_single,3619,2
0.790112,0.779065,vit_s16,12,16,dit_x0_single,3619,2
0.785318,0.775705,vit_s16,13,16,dit_x0_single,3619,2
0.781305,0.773554,vit_s16,14,16,dit_x0_single,3619,2
0.777207,0.770888,vit_s16,15,16,dit_x0_single,3619,2
0.773482,0.768634,vit_s16,16,16,dit_x0_single,3619,2
0.922684,0.921882,vit_s16,1,16,mlp_residual_single,3619,2
0.892281,0.889856,vit_s16,2,16,mlp_residual_single,3619,2
0.870598,0.867567,vit_s16,3,16,mlp_residual_single,3619,2
0.85491,0.852269,vit_s16,4,16,mlp_residual_single,3619,2
0.842103,0.8403,vit_s16,5,16,mlp_residual_single,3619,2
0.831306,0.831451,vit_s16,6,16,mlp_residual_single,3619,2
0.822286,0.824203,vit_s16,7,16,mlp_residual_single,3619,2
0.814083,0.819009,vit_s16,8,16,mlp_residual_single,3619,2
0.807286,0.814437,vit_s16,9,16,mlp_residual_single,3619,2
0.801078,0.81065,vit_s16,10,16,mlp_residual_single,3619,2
0.795418,0.806086,vit_s16,11,16,mlp_residual_single,3619,2
0.790112,0.802039,vit_s16,12,16,mlp_residual_single,3619,2
0.785318,0.79805,vit_s16,13,16,mlp_residual_single,3619,2
0.781305,0.794588,vit_s16,14,16,mlp_residual_single,3619,2
0.777207,0.79156,vit_s16,15,16,mlp_residual_single,3619,2
0.773482,0.791005,vit_s16,16,16,mlp_residual_single,3619,2
0.957298,0.920417,clip_b32,1,8,dit_x0_actseq,4819,0
0.942445,0.914704,clip_b32,2,8,dit_x0_actseq,4819,0
0.93205,0.909941,clip_b32,3,8,dit_x0_actseq,4819,0
0.924205,0.906715,clip_b32,4,8,dit_x0_actseq,4819,0
0.917996,0.903498,clip_b32,5,8,dit_x0_actseq,4819,0
0.912284,0.900911,clip_b32,6,8,dit_x0_actseq,4819,0
0.907106,0.898219,clip_b32,7,8,dit_x0_actseq,4819,0
0.903083,0.896447,clip_b32,8,8,dit_x0_actseq,4819,0
0.957298,0.951567,clip_b32,1,8,mlp_flat_actseq,4819,0
0.942445,0.935217,clip_b32,2,8,mlp_flat_actseq,4819,0
0.93205,0.926014,clip_b32,3,8,mlp_flat_actseq,4819,0
0.924205,0.919894,clip_b32,4,8,mlp_flat_actseq,4819,0
0.917996,0.914673,clip_b32,5,8,mlp_flat_actseq,4819,0
0.912284,0.910462,clip_b32,6,8,mlp_flat_actseq,4819,0
0.907106,0.906244,clip_b32,7,8,mlp_flat_actseq,4819,0
0.903083,0.902447,clip_b32,8,8,mlp_flat_actseq,4819,0
0.958068,0.911617,clip_b32,1,8,dit_x0_single,4819,0
0.943499,0.909202,clip_b32,2,8,dit_x0_single,4819,0
0.933276,0.906852,clip_b32,3,8,dit_x0_single,4819,0
0.925588,0.905218,clip_b32,4,8,dit_x0_single,4819,0
0.919498,0.90373,clip_b32,5,8,dit_x0_single,4819,0
0.91394,0.90217,clip_b32,6,8,dit_x0_single,4819,0
0.908872,0.900035,clip_b32,7,8,dit_x0_single,4819,0
0.904936,0.899033,clip_b32,8,8,dit_x0_single,4819,0
0.957701,0.956849,clip_b32,1,8,mlp_residual_single,4819,0
0.942948,0.941456,clip_b32,2,8,mlp_residual_single,4819,0
0.932572,0.931601,clip_b32,3,8,mlp_residual_single,4819,0
0.924708,0.924566,clip_b32,4,8,mlp_residual_single,4819,0
0.918482,0.919332,clip_b32,5,8,mlp_residual_single,4819,0
0.912815,0.914296,clip_b32,6,8,mlp_residual_single,4819,0
0.907596,0.910104,clip_b32,7,8,mlp_residual_single,4819,0
0.903603,0.907527,clip_b32,8,8,mlp_residual_single,4819,0
0.958491,0.921523,clip_b32,1,8,dit_x0_actseq,4819,1
0.944028,0.916595,clip_b32,2,8,dit_x0_actseq,4819,1
0.933848,0.912463,clip_b32,3,8,dit_x0_actseq,4819,1
0.926102,0.909063,clip_b32,4,8,dit_x0_actseq,4819,1
0.92,0.905777,clip_b32,5,8,dit_x0_actseq,4819,1
0.91443,0.903107,clip_b32,6,8,dit_x0_actseq,4819,1
0.909325,0.901237,clip_b32,7,8,dit_x0_actseq,4819,1
0.905349,0.899198,clip_b32,8,8,dit_x0_actseq,4819,1
0.957319,0.95098,clip_b32,1,8,mlp_flat_actseq,4819,1
