encoder,seed,quartile,horizon,dit_x0_cossim,mlp_fair_cossim,mlp_residual_cossim,copy_cossim,dit_minus_mlp_residual,dit_minus_mlp_fair,dit_minus_copy,n_windows
vjepa2_rep1,1,Q2,4,0.975769,0.973972,0.973413,0.975045,0.002355,0.001796,0.000724,1355
vjepa2_rep1,1,Q3,4,0.982419,0.979909,0.980974,0.98575,0.001445,0.00251,-0.003331,1354
vjepa2_rep1,1,Q4 (easiest),4,0.984955,0.981523,0.987386,0.994149,-0.002431,0.003432,-0.009194,1355
vjepa2_rep1,2,Q1 (hardest),1,0.956694,0.971267,0.974666,0.969055,-0.017972,-0.014572,-0.01236,1355
vjepa2_rep1,2,Q2,1,0.977749,0.98477,0.98824,0.989247,-0.010491,-0.00702,-0.011497,1355
vjepa2_rep1,2,Q3,1,0.982533,0.98747,0.991442,0.993181,-0.008909,-0.004937,-0.010648,1354
vjepa2_rep1,2,Q4 (easiest),1,0.98403,0.988065,0.994391,0.996565,-0.010361,-0.004035,-0.012535,1355
vjepa2_rep1,2,Q1 (hardest),2,0.9483,0.961187,0.959772,0.945297,-0.011471,-0.012887,0.003003,1355
vjepa2_rep1,2,Q2,2,0.977274,0.9812,0.982276,0.98308,-0.005002,-0.003926,-0.005806,1355
vjepa2_rep1,2,Q3,2,0.982228,0.985272,0.986998,0.989893,-0.00477,-0.003043,-0.007664,1354
vjepa2_rep1,2,Q4 (easiest),2,0.983744,0.98646,0.991292,0.995436,-0.007548,-0.002715,-0.011692,1355
vjepa2_rep1,2,Q1 (hardest),3,0.940076,0.95234,0.950179,0.927024,-0.010103,-0.012264,0.013052,1355
vjepa2_rep1,2,Q2,3,0.974274,0.977248,0.977419,0.977312,-0.003145,-0.002974,-0.003038,1355
vjepa2_rep1,2,Q3,3,0.981072,0.982214,0.983349,0.986961,-0.002277,-0.001143,-0.005889,1354
vjepa2_rep1,2,Q4 (easiest),3,0.984113,0.984306,0.989052,0.994437,-0.00494,-0.000194,-0.010325,1355
vjepa2_rep1,2,Q1 (hardest),4,0.932363,0.945661,0.94182,0.91245,-0.009457,-0.013298,0.019913,1355
vjepa2_rep1,2,Q2,4,0.971516,0.973545,0.972419,0.972371,-0.000902,-0.002029,-0.000855,1355
vjepa2_rep1,2,Q3,4,0.980106,0.980047,0.980354,0.984166,-0.000248,6e-05,-0.00406,1354
