encoder,policy,scene_name,scenario,n,steer_rmse,accel_rmse
clip_b32,lead,scene-0638,intersection,41,0.2523299822668975,0.06570453604992207
clip_b32,lead,scene-0770,urban,40,0.05773288070458839,0.015341478758486965
clip_b32,lead,scene-0771,urban,41,0.05322579830847297,0.014223077943319316
clip_b32,lead,scene-0777,urban,40,0.041520414822121585,0.010881292535557358
clip_b32,lead,scene-0796,intersection,40,0.029435309175667265,0.03399779379014178
clip_b32,lead,scene-0904,intersection,41,0.040051699251427084,0.04506358812689933
clip_b32,lead,scene-0905,intersection,40,0.04482359692311037,0.03846950139165434
clip_b32,lead,scene-0906,intersection,41,0.07909682485970804,0.043611260127490295
clip_b32,lead,scene-0913,urban,40,0.024827657819231727,0.02369160584409466
clip_b32,lead,scene-0914,intersection,41,0.16330660328514102,0.05512255111565256
clip_b32,lead,scene-0919,urban,39,0.2996250323314733,0.06716745018740009
dino_vits14,original,scene-0003,urban,40,0.1229891192046762,0.0678789986491647
dino_vits14,original,scene-0013,urban,40,0.05023659922082696,0.03928388513426112
dino_vits14,original,scene-0017,intersection,40,0.08269659608318036,0.06994222821742603
dino_vits14,original,scene-0092,urban,40,0.037441648599066936,0.034811032563060215
dino_vits14,original,scene-0096,intersection,39,0.036837031717508996,0.08436725232950114
dino_vits14,original,scene-0098,urban,39,0.02545750947109289,0.03442105077071049
dino_vits14,original,scene-0103,urban,40,0.04465518962545734,0.1136096828656369
dino_vits14,original,scene-0106,intersection,40,0.05320956635503677,0.05997225458203252
dino_vits14,original,scene-0107,intersection,40,0.04165932723554682,0.07881746780594008
dino_vits14,original,scene-0110,urban,40,0.0423247694594951,0.023274598391615064
dino_vits14,original,scene-0269,urban,40,0.16665312231561066,0.04492054569042594
dino_vits14,original,scene-0271,urban,39,0.10335251345154917,0.10969086380604019
dino_vits14,original,scene-0273,urban,39,0.0819531247299923,0.0838603368471466
dino_vits14,original,scene-0276,intersection,40,0.10618730990570727,0.09881685572083938
dino_vits14,original,scene-0346,intersection,40,0.06800767417961062,0.10026711463557776
dino_vits14,original,scene-0521,intersection,40,0.03709144770455271,0.05101090799936592
dino_vits14,original,scene-0556,intersection,40,0.3498575992596993,0.07475648368381717
dino_vits14,original,scene-0561,intersection,40,0.14677149129112207,0.052777910327492086
dino_vits14,original,scene-0635,urban,40,0.015484522175224578,0.018207610791962786
